86.65.21;["Ampio eteroinnesto di cute nel collo"]
86.65.22;["Ampio eteroinnesto di cute nella spalla e nel braccio"]
86.65.24;["Ampio eteroinnesto di cute nella mano"]
86.65.26;["Ampio eteroinnesto di cute nella regione addominale"]
86.65.29;["Ampio eteroinnesto di cute in altra sede"]
86.65.30;["Innesto di cute suina"]
86.65.99;["Eteroinnesto di cute, altro"]
86.66.0;["Dettaglio della sottocategoria 86.66"]
86.66.00;["Omoinnesto di cute, NAS"]
86.66.10;["Piccolo omoinnesto di cute nel capo"]
86.66.11;["Piccolo omoinnesto di cute nel collo"]
86.66.12;["Piccolo omoinnesto di cute nella spalla e nel braccio"]
86.66.13;["Piccolo omoinnesto di cute nell'avambraccio"]
86.66.14;["Piccolo omoinnesto di cute nella mano"]
86.66.19;["Piccolo omoinnesto di cute in altra sede"]
86.66.20;["Ampio omoinnesto di cute nel capo"]
86.66.21;["Ampio omoinnesto di cute nel collo"]
86.66.24;["Ampio omoinnesto di cute nella mano"]
86.66.29;["Ampio omoinnesto di cute in altra sede"]
86.66.99;["Omoinnesto di cute, altro"]
86.67.0;["Dettaglio della sottocategoria 86.67"]
86.69.0;["Dettaglio della sottocategoria 86.69"]
86.7;["Innesti peduncolati o a lembi"]
86.73;["Trasferimento di innesto peduncolato o a lembo sulla mano"]
86.73.0;["Dettaglio della sottocategoria 86.73"]
86.73.23;["Ampia plastica con lembo a isola sulla mano"]
86.73.24;["Ampia plastica a Z sulla mano"]
86.73.29;["Altra plastica con lembo locale sulla mano"]
86.73.30;["Trasferimento di lembo libero con anastomosi microvascolare sulla mano"]
86.74.0;["Dettaglio della sottocategoria 86.74"]
86.74.41;["Piccola plastica con lembo a isola sul collo"]
86.74.42;["Piccola plastica con lembo a isola su spalla e braccio"]
86.74.44;["Piccola plastica con lembo a isola su parete toracica e dorso"]
86.74.47;["Piccola plastica con lembo a isola sulle natiche"]
86.74.49;["Piccola plastica con lembo a isola in altra sede"]
86.74.4A;["Piccola plastica con lembo a isola sul piede"]
86.74.50;["Piccola plastica a Z sul capo (eccetto labbra e bocca)"]
86.74.51;["Piccola plastica a Z sul collo"]
86.74.52;["Piccola plastica a Z su spalla e braccio"]
86.74.54;["Piccola plastica a Z su parete toracica e dorso"]
86.74.55;["Piccola plastica a Z sulla regione addominale"]
86.74.56;["Piccola plastica a Z sulla regione inguinale e genitale"]
86.74.58;["Piccola plastica a Z su coscia e gamba"]
86.74.5A;["Piccola plastica a Z sul piede"]
86.75.0;["Dettaglio della sottocategoria 86.75"]
86.76.0;["Dettaglio della sottocategoria 86.76"]
86.76.11;["Ampia plastica di allungamento sul collo"]
86.76.12;["Ampia plastica di allungamento su spalla e braccio"]
86.76.13;["Ampia plastica di allungamento sull'avambraccio"]
86.76.17;["Ampia plastica di allungamento sulle natiche"]
86.76.19;["Ampia plastica di allungamento in altra sede"]
86.76.43;["Ampia plastica con lembo a isola sull'avambraccio"]
86.76.49;["Ampia plastica con lembo a isola in altra sede"]
86.76.59;["Ampia plastica a Z in altra sede"]
86.76.5A;["Ampia plastica a Z sul piede"]
86.77;["Trasferimento di altro lembo locale"]
86.77.0;["Dettaglio della sottocategoria 86.77"]
86.77.00;["Trasferimento di altro lembo locale, NAS"]
86.77.11;["Altra plastica con lembo locale sul collo"]
86.77.12;["Altra plastica con lembo locale su spalla e braccio"]
86.77.13;["Altra plastica con lembo locale sull'avambraccio"]
86.77.14;["Altra plastica con lembo locale su parete toracica e dorso"]
86.78;["Altra plastica con lembo"]
86.78.0;["Dettaglio della sottocategoria 86.78"]
86.8;["Altra riparazione e ricostruzione di cute e tessuto sottocutaneo"]
86.83.0;["Dettaglio della sottocategoria 86.83"]
86.83.14;["Intervento di plastica riduttiva sulla mano"]
86.84.0;["Dettaglio della sottocategoria 86.84"]
86.85;["Correzione di sindattilia"]
86.85.0;["Dettaglio della sottocategoria 86.85"]
86.85.00;["Correzione di sindattilia, NAS"]
86.85.99;["Correzione di sindattilia, altro"]
86.86;["Onicoplastica"]
86.88;["Altra copertura (temporanea) dei tessuti molli"]
86.88.0;["Dettaglio della sottocategoria 86.88"]
86.88.11;["Piccola copertura dei tessuti molli del collo con cheratinociti coltivati"]
86.88.91;["Altra copertura temporanea dei tessuti molli del collo"]
86.89;["Altra riparazione o ricostruzione di cute e tessuto sottocutaneo"]
86.89.0;["Dettaglio della sottocategoria 86.89"]
86.9;["Altri interventi sulla cute e sul tessuto sottocutaneo"]
86.92;["Elettrolisi e altra depilazione cutanea"]
86.93.0;["Dettaglio della sottocategoria 86.93"]
86.93.00;["Inserzione di espansore tissutale, NAS"]
86.93.11;["Inserzione di espansore tissutale nel collo"]
86.93.12;["Inserzione di espansore tissutale nella spalla e nel braccio"]
86.93.13;["Inserzione di espansore tissutale nell'avambraccio"]
86.93.14;["Inserzione di espansore tissutale nella mano"]
86.93.99;["Inserzione di espansore tissutale, altro"]
86.94.0;["Dettaglio della sottocategoria 86.94"]
86.94.21;["Sostituzione di generatore d'impulsi di neurostimolatore epidurale, sistema a elettrodo singolo, non ricaricabile"]
86.95.0;["Dettaglio della sottocategoria 86.95"]
86.96.20;["Sostituzione di neurostimolatore per stimolazione della radice anteriore"]
86.96.21;["Sostituzione di neurostimolatore per stimolazione del nervo vago"]
86.96.99;["Inserzione o sostituzione di altro generatore d'impulsi di neurostimolatore, altro"]
86.98.0;["Dettaglio della sottocategoria 86.98"]
86.99;["Altri interventi sulla cute e sul tessuto sottocutaneo"]
86.99.0;["Dettaglio della sottocategoria 86.99"]
86.99.10;["Revisione di neurostimolatore per stimolazione cerebrale"]
86.99.99;["Altri interventi sulla cute e sul tessuto sottocutaneo, altro"]
87;["Radiologia diagnostica"]
87.0;["Radiologia dei tessuti molli della faccia, del capo e del collo"]
87.01;["Pneumoencefalografia"]
87.04.0;["Dettaglio della sottocategoria 87.04"]
87.04.00;["Altra tomografia del capo, NAS"]
87.04.11;["Tomografia assiale computerizzata del collo"]
87.04.99;["Altra tomografia del capo, altro"]
87.05;["Dacriocistografia con contrasto"]
87.06;["Radiografia con contrasto del nasofaringe"]
87.07;["Laringografia con contrasto"]
87.08;["Linfografia cervicale"]
87.09.0;["Dettaglio della sottocategoria 87.09"]
87.09.00;["Altra radiografia dei tessuti molli della faccia, del capo e del collo, NAS"]
87.09.10;["Scialografia diagnostica"]
87.09.99;["Altra radiografia dei tessuti molli della faccia, del capo e del collo, altro"]
87.1;["Altra radiografia della faccia, del capo e del collo"]
87.11;["Radiografia completa della arcate dentarie"];Radiografia panoramica dei denti *
87.13;["Artrografia temporomandibolare con contrasto"]
87.14;["Radiografia orbitale con contrasto"]
87.15;["Radiografia dei seni paranasali con contrasto"]
87.18;["Radiografia speciale del cranio"]
87.2;["Radiografia della colonna"]
87.21;["Mielografia con contrasto"]
87.21.0;["Dettaglio della sottocategoria 87.21"]
87.21.00;["Mielografia con contrasto, NAS"]
87.21.10;["Discografia vertebrale"]
87.21.99;["Mielografia con contrasto, altro"]
87.22;["Altra radiografia della colonna cervicale"];Radiografia: colonna cervicale
87.23;["Altra radiografia della colonna toracica"];Radiografia: colonna toracica
87.29;["Altra radiografia della colonna"];Radiografia completa della colonna;Radiografia della colonna, NAS
87.3;["Radiografia dei tessuti molli del torace"]
87.31;["Broncografia endotracheale"]
87.32;["Altra broncografia con contrasto"];Broncografia transcricoidea
87.33;["Pneumografia del mediastino"]
87.34;["Linfangiografia intratoracica"]
87.35;["Radiografia con contrasto dei dotti mammari"]
87.36;["Xerografia della mammella"]
87.37;["Altra mammografia"];Cistografia della mammella con aria o mezzo di contrasto
87.37.00;["Altra mammografia, NAS"]
87.37.10;["Cistografia della mammella con aria o mezzo di contrasto"]
87.37.99;["Altra mammografia, altro"]
87.38;["Sinografia della parete toracica"];Fistulografia della parete toracica
87.39;["Altra radiografia dei tessuti molli della parete toracica"]
87.4;["Altra radiografia del torace"]
87.41;["Tomografia assiale computerizzata [TAC] del torace"];Scansione TAC
87.41.0;["Dettaglio della sottocategoria 87.41"]
87.41.00;["Tomografia assiale computerizzata del torace, NAS"]
87.41.1;["Tomografia assiale computerizzata del cuore"]
87.41.10;["Tomografia assiale computerizzata del cuore, NAS"]
87.41.19;["Tomografia assiale computerizzata del cuore, altro"]
87.5;["Radiografia delle vie biliari"]
87.51;["Colangiografia epatica percutanea"]
87.52;["Colangiografia intravenosa"]
87.53;["Colangiografia intraoperatoria"]
87.54;["Altra colangiografia"]
87.54.0;["Dettaglio della sottocategoria 87.54.0"]
87.54.00;["Altra colangiografia, NAS"]
87.54.10;["Colangiografia successiva a ERCP"]
87.54.99;["Altra colangiografia, altro"]
87.59;["Altra radiografia delle vie biliari"];Colecistografia per orale;Colecistografia per os
87.59.0;["Dettaglio della sottocategoria 87.59"]
87.59.00;["Altra radiografia delle vie biliari, NAS"]
87.59.10;["Colecistografia per via orale"]
87.59.99;["Altra radiografia delle vie biliari, altro"]
87.6;["Altra radiografia dell'apparato digerente"]
87.61.0;["Dettaglio della sottocategoria 87.61"]
87.61.00;["Pasto baritato, NAS"]
87.61.10;["Faringo-esofagografia"]
87.61.99;["Pasto baritato, altro"]
87.63;["Seriografia dell'intestino tenue"]
87.64.0;["Dettaglio della sottocategoria 87.64"]
87.64.00;["Clisma opaco, NAS"]
87.64.10;["Clisma opaco, singolo contrasto"]
87.64.20;["Clisma opaco, doppio contrasto (Holzknecht)"]
87.64.30;["Defecografia"]
87.64.99;["Clisma opaco, altro"]
87.65;["Altra radiografia dell'intestino"]
87.7;["Radiografia dell'apparato urinario"]
87.72;["Altra tomografia renale"]
87.76;["Cistouretrografia retrograda"]
87.76.0;["Dettaglio della sottocategoria 87.76"]
87.76.00;["Cistouretrografia retrograda, NAS"]
87.76.10;["Cistografia"]
87.76.99;["Cistouretrografia retrograda, altro"]
87.77.0;["Dettaglio della sottocategoria 87.77"]
87.77.00;["Altra cistografia, NAS"]
87.77.10;["Cistourografia minzionale (CUM)"]
87.77.99;["Altra cistografia, altro"]
87.78;["Radiografia di vescica ileale"]
87.79;["Altra radiografia dell'apparato urinario"]
87.8;["Radiografia degli organi genitali femminili"]
87.81;["Radiografia dell'utero gravido"];Cefalometria intrauterina con Rx
87.82;["Isterosalpingografia con contrasto gassoso"]
87.83;["Isterosalpingografia con contrasto opaco"]
87.84;["Isterografia percutanea"]
87.85;["Altra radiografia delle tube di Falloppio e dell'utero"]
87.9;["Radiografia degli organi genitali maschili"]
87.91;["Vesciculografia seminale con contrasto"]
87.92;["Altra radiografia della prostata e delle vascicole seminali"]
87.93;["Epididimografia con contrasto"]
87.94;["Deferento-vesciculografia con contrasto"]
87.95;["Altra radiografia dell'epididimo e dotti deferenti"]
87.99;["Altra radiografia degli organi genitali maschili"]
88;["Altre procedure diagnostiche radiologiche e relative tecniche"]
88.0;["Radiografia dei tessuti molli dell'addome"]
88.01.0;["Dettaglio della sottocategoria 88.01"]
88.01.00;["Tomografia assiale computerizzata dell’addome, NAS"]
88.01.10;["Tomografia assiale computerizzata dell’intero addome"]
88.01.20;["Tomografia assiale computerizzata dell’addome superiore"]
88.01.99;["Tomografia assiale computerizzata dell’addome, altro"]
88.02;["Altra tomografia addominale"]
88.04;["Linfografia addominale"];Linfografia retroperitoneale *
88.09;["Altra radiografia dei tessuti molli dell'addome"]
88.1;["Altra radiografia dell'addome"]
88.11;["Radiografia della pelvi con contrasto opaco"]
88.13;["Altra pneumografia peritoneale"]
88.14;["Fistulografia retroperitoneale"]
88.15;["Pneumografia retroperitoneale"]
88.16;["Altra radiografia retroperitoneale"]
88.2;["Radiografia (delle ossa) degli arti e della pelvi"]
88.21;["Radiografia (delle ossa) della spalla e degli arti superiori"]
88.25;["Pelvimetria"]
88.3;["Altre radiografie"]
88.32;["Artrografia con contrasto"]
88.33;["Altre radiografie dello scheletro"]
88.34;["Linfografia arto superiore"]
88.36;["Linfografia arto inferiore"]
88.38;["Altra tomografia assiale computerizzata"];Scansione TAC, NAS *
88.38.0;["Dettaglio della sottocategoria 88.38"]
88.38.00;["Altra tomografia assiale computerizzata, NAS"]
88.38.20;["Tomografia assiale computerizzata della spalla e del braccio"]
88.38.21;["Tomografia assiale computerizzata del gomito e dell’avambraccio"]
88.38.22;["Tomografia assiale computerizzata del polso e della mano"]
88.38.30;["Tomografia assiale computerizzata dell’anca e della coscia"]
88.38.31;["Tomografia assiale computerizzata del ginocchio e della gamba"]
88.38.32;["Tomografia assiale computerizzata del piede e della caviglia"]
88.38.40;["Tomografia assiale computerizzata della colonna vertebrale"]
88.38.41;["Tomografia assiale computerizzata del bacino e dell’articolazione sacroiliaca"]
88.38.50;["Angiografia-TAC di tutti i vasi"]
88.38.60;["Intervento guidato da TAC"]
88.38.99;["Altra tomografia assiale computerizzata, altro"]
88.39;["Altra radiografia non specificata"]
88.39.0;["Dettaglio della sottocategoria 88.39"]
88.39.00;["Altra radiografia non specificata, NAS"]
88.39.10;["Radiografia intraoperatoria"];Radiografia in condizioni sterili
88.39.20;["Radioscopia funzionale, NAS"]
88.39.21;["Radioscopia funzionale, articolazioni, torace, colonna vertebrale"]
88.39.30;["Interventi in radioscopia"]
88.39.99;["Altra radiografia non specificata, altro"]
88.40;["Arteriografia con mezzo di contrasto, sede non specificata"]
88.42.0;["Dettaglio della sottocategoria 88.42"]
88.42.00;["Aortografia, NAS"]
88.42.10;["Arteriografia dell’arto superiore e dell’aorta toracica"]
88.42.11;["Arteriografia dell’aorta addominale"]
88.42.99;["Aortografia, altro"]
88.43;["Arteriografia delle arterie polmonari"];Angiografia polmonare *
88.44;["Arteriografia di altri vasi intratoracici"]
88.45;["Arteriografia delle arterie renali"]
88.46;["Arteriografia della placenta"];Placentografia con mezzo di contrasto
88.47;["Arteriografia di altre arterie intraaddominali"]
88.48.0;["Dettaglio della sottocategoria 88.48"]
88.48.00;["Arteriografia delle femorali e di altre arterie dell'arto inferiore, NAS"]
88.48.10;["Arteriografia dell’arto inferiore"]
88.48.99;["Arteriografia delle femorali e di altre arterie dell'arto inferiore, altro"]
88.49.0;["Dettaglio della sottocategoria 88.49"]
88.49.00;["Arteriografia di altre sedi specificate, NAS"]
88.49.10;["Angiografia per puntura diretta dello shunt per dialisi"]
88.49.11;["Arteriografia delle arterie del bacino, panoramica"]
88.49.99;["Arteriografia di altre sedi specificate, altro"]
88.50;["Angiocardiografia, NAS"]
88.54;["Angiocardiografia combinata del cuore destro e sinistro"]
88.57;["Altra e non specificata arteriografia coronarica"];Arteriografia coronarica, NAS
88.60;["Flebografia con mezzo di contrasto, sede non specificata"]
88.61.0;["Dettaglio della sottocategoria 88.61"]
88.61.00;["Flebografia con mezzo di contrasto delle vene del capo e del collo, NAS"]
88.61.10;["Flebografia delle vene intracraniche"]
88.63.0;["Dettaglio della sottocategoria 88.63"]
88.63.10;["Flebografia della vena cava superiore"]
88.68;["Flebografia ad impedenza"]
88.69;["Flebografia delle vene degli arti superiori"]
88.71.0;["Dettaglio della sottocategoria 88.71"]
88.71.13;["Ecografia della tiroide"]
88.71.14;["Ecografia duplex delle arterie e vene extracraniche sovra-aortiche"]
88.71.15;["Ecografia del naso e dei seni paranasali"]
88.71.19;["Altra ecografia dei vasi del capo e del collo, altro"]
88.71.99;["Ecografia diagnostica dei vasi del capo e del collo, altro"]
88.72;["Ecografia diagnostica del cuore"];Ecocardiografia;Ecocardiografia transesofagea
88.72.0;["Dettaglio della sottocategoria 88.72"]
88.72.00;["Ecografia diagnostica del cuore, NAS"]
88.72.1;["Ecocardiografia transtoracica"]
88.72.10;["Ecocardiografia transtoracica, NAS"]
88.72.11;["Ecocardiografia transtoracica, a riposo"]
88.72.12;["Ecocardiografia transtoracica, sotto stress fisico"]
88.72.13;["Ecocardiografia transtoracica, sotto stress farmacologico"]
88.72.2;["Ecocardiografia transesofagea"]
88.72.20;["Ecocardiografia transesofagea, NAS"]
88.72.21;["Ecocardiografia transesofagea, a riposo"]
88.72.22;["Ecocardiografia transesofagea, sotto stress fisico"]
88.72.29;["Ecocardiografia transesofagea, altro"]
88.72.99;["Ecografia diagnostica del cuore, altro"]
88.73.0;["Dettaglio della sottocategoria 88.73"]
88.73.20;["Endosonografia transbronchiale"]
88.74;["Ecografia diagnostica dell'apparato digerente"]
88.74.0;["Dettaglio della sottocategoria 88.74"]
88.74.11;["Endosonografia di bocca e ipofaringe"]
88.74.14;["Endosonografia del duodeno"]
88.74.17;["Endosonografia del colon"]
88.74.18;["Endosonografia del retto"]
88.74.19;["Endosonografia dell'apparato digerente, altro"]
88.75;["Ecografia diagnostica dell'apparato urinario"]
88.75.0;["Dettaglio della sottocategoria 88.75"]
88.75.00;["Ecografia diagnostica dell'apparato urinario, NAS"]
88.75.10;["Endosonografia di vescica e uretere, transrettale"]
88.75.11;["Endosonografia di vescica e uretere, transuretrale"]
88.75.99;["Ecografia diagnostica dell'apparato urinario, altro"]
88.76;["Ecografia diagnostica addominale e retroperitoneale"]
88.76.0;["Dettaglio della sottocategoria 88.76"]
88.76.12;["Ecografia vascolare di arterie viscerali"]
88.79.0;["Dettaglio della sottocategoria 88.79"]
88.79.12;["Ecografia articolare della spalla"]
88.79.13;["Ecografia articolare del ginocchio"]
88.79.19;["Ecografia articolare, altre articolazioni"]
88.79.20;["Ecografia diagnostica dei tessuti molli"]
88.79.21;["Ecografia dell'apparato genitale esterno maschile"]
88.79.22;["Ecografia perineale nella donna"]
88.79.30;["Endosonografia degli organi sessuali maschili, transrettale"]
88.79.50;["Ecografia intraoperatoria"]
88.79.51;["Intervento guidato da ecografia (es. per puntura / biopsia / aspirazione)"]
88.79.60;["Ecografia duplex, arterie, NAS"]
88.79.61;["Ecografia duplex delle arterie renali"]
88.79.62;["Ecografia duplex delle arterie del braccio"]
88.79.63;["Ecografia duplex delle arterie da iliacofemorale a poplitea"]
88.79.64;["Ecografia duplex delle arterie della gamba e del piede"]
88.79.69;["Ecografia duplex, arterie, altro"]
88.79.70;["Ecografia duplex, vene, NAS"]
88.79.71;["Ecografia duplex delle vene del braccio (superficiali e profonde)"]
88.79.72;["Ecografia duplex delle vene viscerali"]
88.79.73;["Ecografia duplex delle vene da iliaca a poplitea"]
88.79.74;["Ecografia duplex delle vene profonde della gamba"]
88.79.75;["Ecografia duplex del sistema venoso superficiale dell'arto inferiore"]
88.79.79;["Ecografia duplex, vene, altro"]
88.79.80;["Ecografia con mezzo di contrasto endovenoso o stimolazione farmacologica"]
88.79.81;["Test funzionale ecografico vascolare"]
88.79.99;["Altra diagnostica a ultrasuoni, altro"]
88.8;["Termografia"]
88.81;["Termografia cerebrale"]
88.82;["Termografia oculare"]
88.83;["Termografia dell'osso"];Termografia osteoarticolare
88.84;["Termografia muscolare"]
88.85;["Termografia della mammella"]
88.86;["Termografia dei vasi sanguigni"];Termografia di vena profonda
88.89;["Termografia di altre sedi"];Termografia di linfoghiandole;Termografia, NAS
88.9;["Altre tecniche di produzione di immagini diagnostiche"]
88.90;["Tecniche di produzione di immagini diagnostiche, NAC"]
88.90.10;["Fistulografia"];Rappresentazione di sistema fistolare con apertura cutanea
88.90.20;["Intervento guidato da stereotassi"]
88.90.30;["Intervento guidato da radiografia"]
88.91;["Risonanza magnetica nucleare [RMN, MRI, RMN] del cervello e del tronco encefalico"]
88.91.0;["Dettaglio della sottocategoria 88.91"]
88.91.00;["Risonanza magnetica nucleare [RMN, MRI, RMN] del cervello e del tronco encefalico, NAS"]
88.92.0;["Dettaglio della sottocategoria 88.92"]
88.92.00;["Risonanza magnetica nucleare [RMN, MRI, RMN] di torace e miocardio, NAS"]
88.92.1;["RMN del torace"]
88.92.10;["RMN del torace, NAS"]
88.92.11;["RMN del torace, a riposo, NAS"]
88.92.12;["RMN del torace, a riposo, con mezzo di contrasto"]
88.92.13;["RMN del torace sotto stress, NAS"]
88.92.14;["RMN del torace sotto stress e con mezzo di contrasto"]
88.92.19;["RMN del torace, altro"]
88.92.2;["RMN di cuore e vasi centrali"]
88.92.20;["RMN di cuore e vasi centrali, NAS"]
88.92.21;["RMN di cuore e vasi centrali, a riposo, NAS"]
88.92.22;["RMN di cuore e vasi centrali, a riposo, con mezzo di contrasto"]
88.92.23;["RMN di cuore e vasi centrali sotto sforzo, NAS"]
88.92.29;["RMN di cuore e vasi centrali, altro"]
88.92.3;["RMN di strutture ilari e mediastiniche"]
88.92.30;["RMN di strutture ilari e mediastiniche, NAS"]
88.92.31;["RMN di strutture ilari e mediastiniche, a riposo, NAS"]
88.92.33;["RMN di strutture ilari e mediastiniche sotto sforzo, NAS"]
88.92.34;["RMN di strutture ilari e mediastiniche sotto sforzo e con mezzo di contrasto"]
88.92.39;["RMN di strutture ilari e mediastiniche, altro"]
88.92.99;["Risonanza magnetica nucleare [RMN, MRI, RMN] di torace e miocardio, altro"]
88.94.0;["Dettaglio della sottocategoria 88.94"]
88.94.10;["RMN di spalla e braccio"]
88.94.11;["RMN di gomito e avambraccio"]
88.94.12;["RMN di polso e mano"]
88.94.13;["RMN di anca e coscia"]
88.94.14;["RMN di ginocchio e gamba"];Tendine d'Achille
88.97.0;["Dettaglio della sottocategoria 88.97"]
88.97.10;["Angiografia-RMN di tutti i vasi"]
88.97.11;["Spettroscopia RMN"]
88.97.12;["RMN total body"]
88.97.14;["RMN della colonna vertebrale, completa e parziale"]
88.97.15;["RMN dello scheletro facciale e dei seni paranasali"]
88.97.16;["RMN del collo"]
88.97.17;["RMN dell'addome, pelvi"]
88.97.18;["Defecografia RMN"]
88.97.19;["RMN della/e mammella/e"]
88.98.0;["Dettaglio della sottocategoria 88.98"]
88.98.00;["Densitometria ossea, NAS"]
88.98.10;["Densitometria ossea con dual energy X-ray absorptiometry (DXA)"]
88.98.99;["Densitometria ossea, altro"]
89;["Anamnesi, valutazione, consulto e visita"]
89.0;["Anamnesi, valutazione, consulto e visita"]
89.01;["Anamnesi e valutazione, definite brevi"];Storia e valutazione abbreviata
89.04;["Altra anamnesi e valutazione"]
89.05;["Anamnesi e valutazione, NAS"]
89.07;["Consulto definito complessivo"]
89.07.00;["Consulto definito complessivo"]
89.07.1;["Valutazione completa, senza inclusione del paziente in una lista d'attesa per trapianto d'organo"]
89.07.13;["Valutazione completa, senza inclusione del paziente in una lista d'attesa per trapianto cuore-polmone"]
89.07.23;["Valutazione parziale, senza inclusione del paziente in una lista d'attesa per trapianto cuore-polmone"]
89.07.25;["Valutazione parziale, senza inclusione del paziente in una lista d'attesa per trapianto di pancreas"]
89.07.26;["Valutazione parziale, senza inclusione del paziente in una lista d'attesa per trapianto di intestino tenue"]
89.07.4;["Rivalutazione, con inclusione o mantenimento del paziente in una lista d'attesa per trapianto d'organo"]
89.07.40;["Rivalutazione, con inclusione o mantenimento del paziente in una lista d'attesa per trapianto di rene"]
89.07.45;["Rivalutazione, con inclusione o mantenimento del paziente in una lista d'attesa per trapianto di pancreas"]
89.07.5;["Rivalutazione, con rimozione del paziente da una lista d'attesa per trapianto d'organo"]
89.07.51;["Rivalutazione, con rimozione del paziente da una lista d'attesa per trapianto di rene"]
89.07.52;["Rivalutazione, con rimozione del paziente da una lista d'attesa per trapianto di cuore"]
89.07.53;["Rivalutazione, con rimozione del paziente da una lista d'attesa per trapianto di polmone"]
89.07.54;["Rivalutazione, con rimozione del paziente da una lista d'attesa per trapianto cuore-polmone"]
89.07.55;["Rivalutazione, con rimozione del paziente da una lista d'attesa per trapianto di fegato"]
89.07.56;["Rivalutazione, con rimozione del paziente da una lista d'attesa per trapianto di pancreas"]
89.07.57;["Rivalutazione, con rimozione del paziente da una lista d'attesa per trapianto di intestino tenue"]
89.07.6;["Visita di un donatore vivente per prelievo di organo"]
89.07.60;["Esame di un donatore vivente in visita di prelievo di organo, NAS"]
89.07.61;["Valutazione completa di potenziale donatore vivente prima del prelievo di organo"]
89.07.62;["Controllo di routine di un donatore vivente dopo il prelievo di organo"]
89.07.69;["Visita di un donatore vivente per prelievo di organo, altro"]
89.08;["Altro consulto"]
89.08.0;["Dettaglio della sottocategoria 89.08"]
89.08.00;["Altro consulto, NAS"]
89.08.09;["Altro consulto, altro"]
89.08.1;["Sorveglianza epidemiologica"]
89.08.10;["Sorveglianza epidemiologica, NAS"]
89.08.11;["Inchiesta nell'ambiente del paziente in caso di malattie trasmissibili"]
89.08.12;["Accertamento di un'epidemia"]
89.08.19;["Sorveglianza epidemiologica, altro"]
89.09;["Consulto, NAS"]
89.0A;["Controllo speciale del decorso (del paziente)"]
89.0A.0;["Dettaglio della sottocategoria 89.0A"]
89.0A.00;["Controllo speciale del decorso (del paziente), NAS"]
89.0A.09;["Controllo speciale del decorso, altro"]
89.0A.1;["Controllo del decorso infettivologico di un paziente ospedalizzato"]
89.0A.10;["Controllo del decorso infettivologico di un paziente ospedalizzato, NAS"]
89.0A.2;["Controllo del decorso tossicologico e farmacologico di un paziente ospedalizzato"]
89.0A.3;["Consulenza e terapia dietetica"]
89.0A.32;["Consulenza e terapia dietetica"]
89.0A.4;["Terapia dietetica multimodale"]
89.0A.40;["Terapia dietetica multimodale, NAS"]
89.0A.41;["Terapia dietetica multimodale, da 3 a 16 giorni"]
89.0A.42;["Terapia dietetica multimodale, da 7 a 16 giorni"]
89.0A.43;["Terapia dietetica multimodale, da 14 a 20 giorni"]
89.0A.44;["Terapia dietetica multimodale, almeno 21 giorni"]
89.0A.49;["Terapia dietetica multimodale, altro"]
89.1;["Misure anatomiche e fisiologiche ed esami manuali: sistema nervoso e organi di senso"]
89.10;["Test intracarotideo con amobarbitale"];Test di Wada
89.11;["Tonometria"]
89.12;["Studio della funzione nasale"];Rinomanometria
89.13;["Visita neurologica"]
89.13.00;["Visita neurologica NAS"]
89.13.05;["Diagnostica funzionale del sistema nervoso con test farmacologici"]
89.13.09;["Visita neurologica, altro"]
89.13.20;["Terapia intensiva complessa, da 0 a 59 punti risorse"]
89.13.43;["Terapia intensiva complessa, da 19321 punti risorse"]
89.14;["Elettroencefalogramma"]
89.14.0;["Dettaglio della sottocategoria 89.14"]
89.14.00;["Elettroencefalogramma, NAS"]
89.14.1;["Elettroencefalogramma, specifico"]
89.14.99;["Elettroencefalogramma, altro"]
89.15;["Altri test funzionali neurologici non invasivi"]
89.15.0;["Dettaglio della sottocategoria 89.15"]
89.15.10;["Potenziali evocati somatosensoriali"]
89.15.11;["Potenziali evocati motori"]
89.15.20;["Esame della velocità di conduzione nervosa sensoriale"]
89.15.50;["Esame della sensibilità agli oppiacei"]
89.15.81;["Trattamento neuropsicologico, da 51 a 120 min"]
89.16;["Transilluminazione di cranio di neonato"]
89.17;["Registrazione del sonno"]
89.17.0;["Dettaglio della sottocategoria 89.17"]
89.17.00;["Registrazione del sonno, NAS"]
89.17.10;["Polisonnografia"]
89.17.11;["Poligrafia cardiorespiratoria"]
89.17.12;["Actimetria e actigrafia"]
89.18;["Altri test funzionali di disordini del sonno"]
89.18.0;["Dettaglio della sottocategoria 89.18"]
89.18.00;["Altri test funzionali di disturbi del sonno, NAS"]
89.18.12;["Test computerizzato della vigilanza"]
89.18.99;["Altri test funzionali di disturbi del sonno, altro"]
89.19.0;["Dettaglio della sottocategoria 89.19"]
89.19.00;["Monitoraggio elettroencefalografico video e radio-telemetrico, NAS"]
89.19.99;["Monitoraggio elettroencefalografico video e radio-telemetrico, altro"]
89.1A.0;["Dettaglio della sottocategoria 89.1A"]
89.1A.00;["Regolazione neurologica dei parametri di stimolazione, NAS"]
89.1A.99;["Regolazione neurologica dei parametri di stimolazione, altro"]
89.22;["Cistometrografia"]
89.23;["Elettromiografia dello sfintere uretrale"]
89.24;["Uroflussometria"]
89.25;["Profilo pressorio uretrale"]
89.3;["Altre misurazioni anatomiche e fisiologiche ed esami manuali"]
89.32;["Manometria gastrointestinale"]
89.32.0;["Dettaglio della sottocategoria 89.32"]
